flight_date,flight_status,departure,arrival,airline,flight,aircraft,live
2025-04-01,scheduled,"{'airport': 'Shanghai Hongqiao International', 'timezone': 'Asia/Shanghai', 'iata': 'SHA', 'icao': 'ZSSS', 'terminal': '1', 'gate': 'D', 'delay': 25, 'scheduled': '2025-04-01T07:05:00+00:00', 'estimated': '2025-04-01T07:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Xiamen', 'timezone': 'Asia/Shanghai', 'iata': 'XMN', 'icao': 'ZSAM', 'terminal': '4', 'gate': '68', 'baggage': None, 'scheduled': '2025-04-01T09:10:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Spring Airlines', 'iata': '9C', 'icao': 'CQH'}","{'number': '8815', 'iata': '9C8815', 'icao': 'CQH8815', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Ufa International Airport', 'timezone': 'Asia/Yekaterinburg', 'iata': 'UFA', 'icao': 'UWUU', 'terminal': '2', 'gate': None, 'delay': 10, 'scheduled': '2025-04-01T03:40:00+00:00', 'estimated': '2025-04-01T03:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T07:40:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Emirates', 'iata': 'EK', 'icao': 'UAE'}","{'number': '2441', 'iata': 'EK2441', 'icao': 'UAE2441', 'codeshared': {'airline_name': 'flydubai', 'airline_iata': 'fz', 'airline_icao': 'fdb', 'flight_number': '986', 'flight_iata': 'fz986', 'flight_icao': 'fdb986'}}",,
2025-04-01,scheduled,"{'airport': 'Ufa International Airport', 'timezone': 'Asia/Yekaterinburg', 'iata': 'UFA', 'icao': 'UWUU', 'terminal': '1', 'gate': None, 'delay': None, 'scheduled': '2025-04-01T03:20:00+00:00', 'estimated': '2025-04-01T03:20:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Surgut', 'timezone': 'Asia/Yekaterinburg', 'iata': 'SGC', 'icao': 'USRR', 'terminal': None, 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T05:20:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'UTair Aviation', 'iata': 'UT', 'icao': 'UTA'}","{'number': '6427', 'iata': 'UT6427', 'icao': 'UTA6427', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Ufa International Airport', 'timezone': 'Asia/Yekaterinburg', 'iata': 'UFA', 'icao': 'UWUU', 'terminal': '2', 'gate': None, 'delay': 10, 'scheduled': '2025-04-01T03:40:00+00:00', 'estimated': '2025-04-01T03:40:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Dubai', 'timezone': 'Asia/Dubai', 'iata': 'DXB', 'icao': 'OMDB', 'terminal': '2', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T07:40:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'flydubai', 'iata': 'FZ', 'icao': 'FDB'}","{'number': '986', 'iata': 'FZ986', 'icao': 'FDB986', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Kuantan', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUA', 'icao': 'WMKD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T06:30:00+00:00', 'estimated': '2025-04-01T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': 'B6', 'baggage': None, 'scheduled': '2025-04-01T07:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Firefly', 'iata': 'FY', 'icao': 'FFM'}","{'number': '4231', 'iata': 'FY4231', 'icao': 'FFM4231', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '1263', 'flight_iata': 'mh1263', 'flight_icao': 'mas1263'}}",,
2025-04-01,scheduled,"{'airport': 'Kuantan', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUA', 'icao': 'WMKD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T06:30:00+00:00', 'estimated': '2025-04-01T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': 'B6', 'baggage': None, 'scheduled': '2025-04-01T07:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Philippine Airlines', 'iata': 'PR', 'icao': 'PAL'}","{'number': '3617', 'iata': 'PR3617', 'icao': 'PAL3617', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '1263', 'flight_iata': 'mh1263', 'flight_icao': 'mas1263'}}",,
2025-04-01,scheduled,"{'airport': 'Kuantan', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUA', 'icao': 'WMKD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T06:30:00+00:00', 'estimated': '2025-04-01T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': 'B6', 'baggage': None, 'scheduled': '2025-04-01T07:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Qatar Airways', 'iata': 'QR', 'icao': 'QTR'}","{'number': '5034', 'iata': 'QR5034', 'icao': 'QTR5034', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '1263', 'flight_iata': 'mh1263', 'flight_icao': 'mas1263'}}",,
2025-04-01,scheduled,"{'airport': 'Kuantan', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUA', 'icao': 'WMKD', 'terminal': None, 'gate': None, 'delay': None, 'scheduled': '2025-04-01T06:30:00+00:00', 'estimated': '2025-04-01T06:30:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kuala Lumpur International Airport (klia)', 'timezone': 'Asia/Kuala_Lumpur', 'iata': 'KUL', 'icao': 'WMKK', 'terminal': '1', 'gate': 'B6', 'baggage': None, 'scheduled': '2025-04-01T07:25:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Turkish Airlines', 'iata': 'TK', 'icao': 'THY'}","{'number': '4874', 'iata': 'TK4874', 'icao': 'THY4874', 'codeshared': {'airline_name': 'malaysia airlines', 'airline_iata': 'mh', 'airline_icao': 'mas', 'flight_number': '1263', 'flight_iata': 'mh1263', 'flight_icao': 'mas1263'}}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '39', 'delay': None, 'scheduled': '2025-04-01T11:05:00+00:00', 'estimated': '2025-04-01T11:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Whangarei', 'timezone': 'Pacific/Auckland', 'iata': 'WRE', 'icao': 'NZWR', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T11:45:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5224', 'iata': 'NZ5224', 'icao': 'ANZ5224', 'codeshared': None}",,
2025-04-01,scheduled,"{'airport': 'Auckland International', 'timezone': 'Pacific/Auckland', 'iata': 'AKL', 'icao': 'NZAA', 'terminal': 'D', 'gate': '50', 'delay': None, 'scheduled': '2025-04-01T11:05:00+00:00', 'estimated': '2025-04-01T11:05:00+00:00', 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'airport': 'Kerikeri/Bay of Islands', 'timezone': 'Pacific/Auckland', 'iata': 'KKE', 'icao': 'NZKK', 'terminal': 'D', 'gate': None, 'baggage': None, 'scheduled': '2025-04-01T11:55:00+00:00', 'delay': None, 'estimated': None, 'actual': None, 'estimated_runway': None, 'actual_runway': None}","{'name': 'Air New Zealand', 'iata': 'NZ', 'icao': 'ANZ'}","{'number': '5276', 'iata': 'NZ5276', 'icao': 'ANZ5276', 'codeshared': None}",,
